orderID,year,offence_type,offence_group,gender,source,target,value,,,,,,Gender
1,2009,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,1719,,02 labour exploitation,,1,2009,1 Male
1,2009,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,3798,,02 labour exploitation,,1,2009,1 Male
1,2009,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,333,,02 labour exploitation,,1,2009,1 Male
1,2009,Juveniles,04 unknown exploitation,1 Male,All offenders,First time offenders,2974,,04 unknown exploitation,,1,2009,1 Male
1,2009,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,17275,,01 domestic servitude,,1,2009,1 Male
1,2009,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,2989,,01 domestic servitude,,1,2009,1 Male
1,2009,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,33719,,02 labour exploitation,,1,2009,1 Male
1,2009,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,88,,02 labour exploitation,,1,2009,1 Male
1,2009,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,1890,,02 labour exploitation,,1,2009,1 Male
1,2009,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,594,,04 sexual exploitation,,1,2009,1 Male
1,2009,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,20425,,04 sexual exploitation,,1,2009,1 Male
1,2009,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,2272,,04 unknown exploitation,,1,2009,1 Male
1,2009,Juveniles,04 unknown exploitation,1 Male,All offenders,First time offenders,1597,,04 unknown exploitation,,1,2009,1 Male
1,2010,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,996,,01 domestic servitude,,1,2009,2 Female
1,2010,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,15248,,02 labour exploitation,,1,2010,2 Female
1,2010,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,3965,,02 labour exploitation,,1,2010,2 Female
1,2010,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,56038,,02 labour exploitation,,1,2010,2 Female
1,2010,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,15484,,04 sexual exploitation,,1,2010,2 Female
1,2010,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,4626,,01 domestic servitude,,1,2010,2 Female
1,2010,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,1244,,01 domestic servitude,,1,2010,2 Female
1,2010,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,1150,,01 domestic servitude,,1,2010,2 Female
1,2010,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,2636,,02 labour exploitation,,1,2010,2 Female
1,2010,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,1254,,02 labour exploitation,,1,2010,2 Female
1,2010,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,2343,,04 sexual exploitation,,1,2010,2 Female
1,2010,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,15560,,04 sexual exploitation,,1,2010,2 Female
1,2010,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,965,,04 sexual exploitation,,1,2010,2 Female
1,2010,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,1140,,04 sexual exploitation,,1,2010,2 Female
1,2010,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,14795,,04 unknown exploitation,,1,2010,2 Female
1,2010,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,5427,,04 unknown exploitation,,1,2010,2 Female
1,2010,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,3190,,02 labour exploitation,,1,2010,1 Male
1,2010,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,1106,,02 labour exploitation,,1,2010,1 Male
1,2010,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,1008,,04 sexual exploitation,,1,2010,1 Male
1,2010,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,8789,,01 domestic servitude,,1,2010,1 Male
1,2010,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,4632,,01 domestic servitude,,1,2010,1 Male
1,2010,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,243,,02 labour exploitation,,1,2010,1 Male
1,2010,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,2623,,02 labour exploitation,,1,2010,1 Male
1,2010,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,548,,02 labour exploitation,,1,2010,1 Male
1,2010,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,4921,,02 labour exploitation,,1,2010,1 Male
1,2010,Adults,04 sexual exploitation,1 Male,All offenders,First time offenders,7626,,04 sexual exploitation,,1,2010,1 Male
1,2010,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,545,,04 sexual exploitation,,1,2010,1 Male
1,2010,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,10427,,04 unknown exploitation,,1,2010,1 Male
1,2010,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,6502,,04 unknown exploitation,,1,2010,1 Male
1,2010,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,244,,04 unknown exploitation,,1,2010,1 Male
1,2010,Adults,04 sexual exploitation,Transexual,All offenders,First time offenders,7232,,04 sexual exploitation,,1,2010,Transexual
1,2011,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,274,,01 domestic servitude,,1,2010,2 Female
1,2011,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,5169,,01 domestic servitude,,1,2011,2 Female
1,2011,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,216,,02 labour exploitation,,1,2011,2 Female
1,2011,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,33982,,02 labour exploitation,,1,2011,2 Female
1,2011,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,14528,,02 labour exploitation,,1,2011,2 Female
1,2011,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,38013,,02 labour exploitation,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,7099,,04 sexual exploitation,,1,2011,2 Female
1,2011,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,2058,,04 sexual exploitation,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,39932,,04 sexual exploitation,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,6211,,04 sexual exploitation,,1,2011,2 Female
1,2011,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,3810,,04 sexual exploitation,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,7969,,04 sexual exploitation,,1,2011,2 Female
1,2011,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,448,,04 unknown exploitation,,1,2011,2 Female
1,2011,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,100,,04 unknown exploitation,,1,2011,2 Female
1,2011,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,20262,,01 domestic servitude,,1,2011,2 Female
1,2011,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,2016,,01 domestic servitude,,1,2011,2 Female
1,2011,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,645,,01 domestic servitude,,1,2011,2 Female
1,2011,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,2608,,01 domestic servitude,,1,2011,2 Female
1,2011,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,17359,,01 domestic servitude,,1,2011,2 Female
1,2011,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,27440,,01 domestic servitude,,1,2011,2 Female
1,2011,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,452,,01 domestic servitude,,1,2011,2 Female
1,2011,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,2641,,02 labour exploitation,,1,2011,2 Female
1,2011,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,12188,,02 labour exploitation,,1,2011,2 Female
1,2011,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,316,,02 labour exploitation,,1,2011,2 Female
1,2011,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,363,,02 labour exploitation,,1,2011,2 Female
1,2011,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,25449,,02 labour exploitation,,1,2011,2 Female
1,2011,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,2726,,02 labour exploitation,,1,2011,2 Female
1,2011,Adults,Organ Harvesting,2 Female,All offenders,First time offenders,3517,,Organ Harvesting,,1,2011,2 Female
1,2011,Juveniles,Organ Harvesting,2 Female,All offenders,First time offenders,331,,Organ Harvesting,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,8814,,04 sexual exploitation,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,8791,,04 sexual exploitation,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,20701,,04 sexual exploitation,,1,2011,2 Female
1,2011,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,4947,,04 sexual exploitation,,1,2011,2 Female
1,2011,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,283,,04 sexual exploitation,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,5230,,04 sexual exploitation,,1,2011,2 Female
1,2011,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,327,,04 sexual exploitation,,1,2011,2 Female
1,2011,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,5973,,04 sexual exploitation,,1,2011,2 Female
1,2011,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,577,,04 sexual exploitation,,1,2011,2 Female
1,2011,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,13635,,04 unknown exploitation,,1,2011,2 Female
1,2011,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,323,,04 unknown exploitation,,1,2011,2 Female
1,2011,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,5326,,04 unknown exploitation,,1,2011,2 Female
1,2011,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,4309,,04 unknown exploitation,,1,2011,2 Female
1,2011,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,540,,04 unknown exploitation,,1,2011,2 Female
1,2011,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,1759,,04 unknown exploitation,,1,2011,2 Female
1,2011,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,374,,01 domestic servitude,,1,2011,1 Male
1,2011,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,1436,,02 labour exploitation,,1,2011,1 Male
1,2011,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,1695,,02 labour exploitation,,1,2011,1 Male
1,2011,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,380,,02 labour exploitation,,1,2011,1 Male
1,2011,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,4424,,02 labour exploitation,,1,2011,1 Male
1,2011,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,3036,,02 labour exploitation,,1,2011,1 Male
1,2011,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,496,,02 labour exploitation,,1,2011,1 Male
1,2011,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,2621,,02 labour exploitation,,1,2011,1 Male
1,2011,Adults,04 sexual exploitation,1 Male,All offenders,First time offenders,1363,,04 sexual exploitation,,1,2011,1 Male
1,2011,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,39313,,04 unknown exploitation,,1,2011,1 Male
1,2011,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,12243,,01 domestic servitude,,1,2011,1 Male
1,2011,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,9478,,01 domestic servitude,,1,2011,1 Male
1,2011,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,10725,,01 domestic servitude,,1,2011,1 Male
1,2011,Juveniles,01 domestic servitude,1 Male,All offenders,First time offenders,1534,,01 domestic servitude,,1,2011,1 Male
1,2011,Juveniles,01 domestic servitude,1 Male,All offenders,First time offenders,1780,,01 domestic servitude,,1,2011,1 Male
1,2011,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,5096,,02 labour exploitation,,1,2011,1 Male
1,2011,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,401,,02 labour exploitation,,1,2011,1 Male
1,2011,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,413,,02 labour exploitation,,1,2011,1 Male
1,2011,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,499,,02 labour exploitation,,1,2011,1 Male
1,2011,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,2917,,02 labour exploitation,,1,2011,1 Male
1,2011,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,32361,,02 labour exploitation,,1,2011,1 Male
1,2011,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,2400,,02 labour exploitation,,1,2011,1 Male
1,2011,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,196,,02 labour exploitation,,1,2011,1 Male
1,2011,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,1687,,04 sexual exploitation,,1,2011,1 Male
1,2011,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,505,,04 sexual exploitation,,1,2011,1 Male
1,2011,Adults,04 sexual exploitation,1 Male,All offenders,First time offenders,1504,,04 sexual exploitation,,1,2011,1 Male
1,2011,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,273,,04 unknown exploitation,,1,2011,1 Male
1,2011,Juveniles,04 unknown exploitation,1 Male,All offenders,First time offenders,211,,04 unknown exploitation,,1,2011,1 Male
1,2011,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,3202,,04 unknown exploitation,,1,2011,1 Male
1,2011,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,50952,,04 unknown exploitation,,1,2011,1 Male
1,2012,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,3946,,01 domestic servitude,,1,2011,2 Female
1,2012,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,1131,,02 labour exploitation,,1,2012,2 Female
1,2012,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,1017,,02 labour exploitation,,1,2012,2 Female
1,2012,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,1646,,02 labour exploitation,,1,2012,2 Female
1,2012,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,1162,,02 labour exploitation,,1,2012,2 Female
1,2012,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,809,,04 sexual exploitation,,1,2012,2 Female
1,2012,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,2352,,04 sexual exploitation,,1,2012,2 Female
1,2012,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,4018,,04 sexual exploitation,,1,2012,2 Female
1,2012,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,1035,,04 sexual exploitation,,1,2012,2 Female
1,2012,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,249,,04 sexual exploitation,,1,2012,2 Female
1,2012,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,2090,,04 sexual exploitation,,1,2012,2 Female
1,2012,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,2119,,04 unknown exploitation,,1,2012,2 Female
1,2012,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,3588,,04 unknown exploitation,,1,2012,2 Female
1,2012,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,794,,01 domestic servitude,,1,2012,2 Female
1,2012,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,739,,01 domestic servitude,,1,2012,2 Female
1,2012,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,2425,,01 domestic servitude,,1,2012,2 Female
1,2012,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,1775,,01 domestic servitude,,1,2012,2 Female
1,2012,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,485,,01 domestic servitude,,1,2012,2 Female
1,2012,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,2283,,01 domestic servitude,,1,2012,2 Female
1,2012,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,1875,,01 domestic servitude,,1,2012,2 Female
1,2012,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,1154,,01 domestic servitude,,1,2012,2 Female
1,2012,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,1240,,02 labour exploitation,,1,2012,2 Female
1,2012,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,55784,,02 labour exploitation,,1,2012,2 Female
1,2012,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,539,,02 labour exploitation,,1,2012,2 Female
1,2012,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,2521,,02 labour exploitation,,1,2012,2 Female
1,2012,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,5593,,02 labour exploitation,,1,2012,2 Female
1,2012,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,451,,02 labour exploitation,,1,2012,2 Female
1,2012,Adults,Organ Harvesting,2 Female,All offenders,First time offenders,3148,,Organ Harvesting,,1,2012,2 Female
1,2012,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,22141,,04 sexual exploitation,,1,2012,2 Female
1,2012,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,679,,04 sexual exploitation,,1,2012,2 Female
1,2012,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,493,,04 sexual exploitation,,1,2012,2 Female
1,2012,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,159,,04 sexual exploitation,,1,2012,2 Female
1,2012,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,352,,04 sexual exploitation,,1,2012,2 Female
1,2012,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,3058,,04 sexual exploitation,,1,2012,2 Female
1,2012,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,70,,04 sexual exploitation,,1,2012,2 Female
1,2012,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,341,,04 sexual exploitation,,1,2012,2 Female
1,2012,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,1069,,04 sexual exploitation,,1,2012,2 Female
1,2012,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,4701,,04 sexual exploitation,,1,2012,2 Female
1,2012,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,862,,04 unknown exploitation,,1,2012,2 Female
1,2012,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,7919,,04 unknown exploitation,,1,2012,2 Female
1,2012,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,9837,,04 unknown exploitation,,1,2012,2 Female
1,2012,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,2538,,04 unknown exploitation,,1,2012,2 Female
1,2012,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,4431,,04 unknown exploitation,,1,2012,2 Female
1,2012,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,717,,04 unknown exploitation,,1,2012,2 Female
1,2012,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,3129,,04 unknown exploitation,,1,2012,2 Female
1,2012,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,942,,04 unknown exploitation,,1,2012,2 Female
1,2012,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,13574,,01 domestic servitude,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,171,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,6081,,02 labour exploitation,,1,2012,1 Male
1,2012,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,305,,02 labour exploitation,,1,2012,1 Male
1,2012,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,13326,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,486,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,4397,,02 labour exploitation,,1,2012,1 Male
1,2012,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,1935,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,04 unknown exploitation,1 Male,All offenders,First time offenders,620,,04 unknown exploitation,,1,2012,1 Male
1,2012,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,13158,,01 domestic servitude,,1,2012,1 Male
1,2012,Juveniles,01 domestic servitude,1 Male,All offenders,First time offenders,7541,,01 domestic servitude,,1,2012,1 Male
1,2012,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,1799,,01 domestic servitude,,1,2012,1 Male
1,2012,Juveniles,01 domestic servitude,1 Male,All offenders,First time offenders,11227,,01 domestic servitude,,1,2012,1 Male
1,2012,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,18819,,01 domestic servitude,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,1240,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,1469,,02 labour exploitation,,1,2012,1 Male
1,2012,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,28649,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,832,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,1627,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,4194,,02 labour exploitation,,1,2012,1 Male
1,2012,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,47943,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,6682,,02 labour exploitation,,1,2012,1 Male
1,2012,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,356,,04 sexual exploitation,,1,2012,1 Male
1,2012,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,571,,04 sexual exploitation,,1,2012,1 Male
1,2012,Adults,04 sexual exploitation,1 Male,All offenders,First time offenders,42052,,04 sexual exploitation,,1,2012,1 Male
1,2012,Adults,04 sexual exploitation,1 Male,All offenders,First time offenders,13446,,04 sexual exploitation,,1,2012,1 Male
1,2012,Adults,04 sexual exploitation,1 Male,All offenders,First time offenders,2782,,04 sexual exploitation,,1,2012,1 Male
1,2012,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,5141,,04 sexual exploitation,,1,2012,1 Male
1,2012,Juveniles,04 sexual exploitation,1 Male,All offenders,First time offenders,714,,04 sexual exploitation,,1,2012,1 Male
1,2012,Juveniles,04 unknown exploitation,1 Male,All offenders,First time offenders,2135,,04 unknown exploitation,,1,2012,1 Male
1,2012,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,1406,,04 unknown exploitation,,1,2012,1 Male
1,2012,Adults,04 unknown exploitation,1 Male,All offenders,First time offenders,17606,,04 unknown exploitation,,1,2012,1 Male
1,2012,Juveniles,04 unknown exploitation,1 Male,All offenders,First time offenders,376,,04 unknown exploitation,,1,2012,1 Male
1,2012,Juveniles,04 unknown exploitation,1 Male,All offenders,First time offenders,4686,,04 unknown exploitation,,1,2012,1 Male
1,2012,Juveniles,04 unknown exploitation,1 Male,All offenders,First time offenders,3331,,04 unknown exploitation,,1,2012,1 Male
1,2013,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,14466,,01 domestic servitude,,1,2012,2 Female
1,2013,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,71,,01 domestic servitude,,1,2013,2 Female
1,2013,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,14964,,01 domestic servitude,,1,2013,2 Female
1,2013,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,498,,01 domestic servitude,,1,2013,2 Female
1,2013,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,3231,,02 labour exploitation,,1,2013,2 Female
1,2013,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,96,,02 labour exploitation,,1,2013,2 Female
1,2013,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,2341,,02 labour exploitation,,1,2013,2 Female
1,2013,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,3319,,02 labour exploitation,,1,2013,2 Female
1,2013,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,1244,,02 labour exploitation,,1,2013,2 Female
1,2013,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,1204,,02 labour exploitation,,1,2013,2 Female
1,2013,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,892,,04 sexual exploitation,,1,2013,2 Female
1,2013,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,35762,,04 sexual exploitation,,1,2013,2 Female
1,2013,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,443,,04 sexual exploitation,,1,2013,2 Female
1,2013,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,605,,04 sexual exploitation,,1,2013,2 Female
1,2013,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,28986,,04 sexual exploitation,,1,2013,2 Female
1,2013,Adults,04 sexual exploitation,2 Female,All offenders,First time offenders,5457,,04 sexual exploitation,,1,2013,2 Female
